Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Jake Kumerow,BUF,,30,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Tommy Sweeney,BUF,,27,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Chuba Hubbard,CAR,RB,23,1,0,0,0,0,0,0,3,0,1,0,0,,0,0,0
Giovanni Ricci,CAR,,26,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Andre Roberts,CAR,,34,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Tommy Tremble,CAR,TE,22,1,0,1,1,0,0,0,0,0,0,1,0,,0,0,0
Khari Blasingame,CHI,,26,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Ryan Griffin,CHI,,32,1,0,2,0,0,0,0,0,0,0,0,0,,0,0,0
Cole Kmet,CHI,,23,1,1,1,0,0,0,0,0,0,0,0,0,,0,0,0
Ihmir Smith-Marsette,CHI,,23,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Chris Evans,CIN,,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Clark Harris,CIN,,38,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Stanley Morgan Jr.,CIN,,26,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Drew Sample,CIN,TE,26,1,1,1,1,0,0,0,0,0,0,2,0,,0,0,0
Trent Taylor,CIN,,28,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Mitchell Wilcox,CIN,,26,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Demetric Felton,CLE,,24,1,0,1,0,0,0,0,0,0,0,0,0,,0,1,0
Jesse James,CLE,,28,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Stephen Anderson,ARI,,29,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Jonathan Ward,ARI,,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Darrel Williams,ARI,,27,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Maxx Williams,ARI,,28,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rico Dowdle,DAL,,24,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Mike Boone,DEN,RB,27,1,0,1,1,0,0,0,0,0,0,2,0,,0,0,0
Tyrie Cleveland,DEN,,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
KJ Hamler,DEN,,23,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0
Eric Saubert,DEN,,28,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0
Eric Tomlinson,DEN,,30,1,1,1,0,0,0,0,0,0,0,0,0,,0,0,0
Quintez Cephus,DET,,24,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Justin Jackson,DET,,26,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Kalif Raymond,DET,,28,1,0,2,0,0,0,0,0,0,0,0,0,,0,0,0
Craig Reynolds,DET,,26,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Nate Sudfeld,DET,,29,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Tyler Davis,GNB,TE,25,1,0,1,1,0,0,0,0,0,0,3,0,,0,0,0
Marcedes Lewis,GNB,,38,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0
Amari Rodgers,GNB,,23,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Chris Conley,HOU,,30,1,0,2,0,0,0,0,0,0,0,0,0,,0,0,0
Phillip Dorsett,HOU,,29,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0
Dare Ogunbowale,HOU,,28,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dan Arnold,JAX,,27,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Luke Farrell,JAX,,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Jamycal Hasty,JAX,,26,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Chris Manhertz,JAX,,30,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Chad Henne,KAN,,37,1,0,0,0,0,0,0,0,0,0,0,0,,0,1,0
Justin Watson,KAN,,26,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0
Cethan Carter,MIA,,27,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
River Cracraft,MIA,,28,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Myles Gaskin,MIA,,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Mike Gesicki,MIA,TE,27,1,0,1,1,0,0,0,0,0,0,1,0,,0,0,0
Hunter Long,MIA,,24,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Ben Ellefson,MIN,TE,26,1,0,1,1,0,0,0,0,0,0,2,0,,0,0,0
Jalen Reagor,MIN,,23,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Irv Smith Jr.,MIN,,24,1,0,2,0,0,0,0,0,0,0,0,0,,0,0,0
Marquez Callaway,NOR,,24,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Deonte Harty,NOR,WR,25,1,0,1,1,0,0,0,0,0,0,4,0,,0,0,0
Mark Ingram,NOR,RB,33,1,0,1,1,0,0,0,22,0,4,1,0,,0,1,1
Tony Jones,NOR,,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Adam Trautman,NOR,,25,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0
Lil'Jordan Humphrey,NWE,,24,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Matthew Slater,NWE,,37,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Gary Brightwell,NYG,,23,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Tanner Hudson,NYG,,28,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Lawrence Cager,NYJ,,25,1,1,1,0,0,0,0,0,0,0,0,0,,0,0,0
Justin Hardee,NYJ,,28,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Ty Johnson,NYJ,,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Jeff Smith,NYJ,,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
C.J. Uzomah,NYJ,,29,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0
Trenton Cannon,TEN,,28,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Tory Carter,TEN,,23,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0
Gardner Minshew II,PHI,,26,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
DeVonta Smith,PHI,,24,1,1,4,0,0,0,0,0,0,0,0,0,,0,0,0
Jack Stoll,PHI,,24,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0
Noah Togiai,PHI,,25,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0
Quez Watkins,PHI,,24,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Miles Boykin,PIT,,26,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0
Gunner Olszewski,PIT,,26,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
George Pickens,PIT,WR,21,1,1,3,1,0,0,0,0,0,0,3,0,,0,0,0
Benny Snell Jr.,PIT,,24,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Ameer Abdullah,LVR,,29,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0
Jesper Horsted,LVR,,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Jakob Johnson,LVR,RB,28,1,0,1,1,0,0,0,0,0,0,1,0,,0,0,0
Tyron Johnson,LVR,,26,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Foster Moreau,LVR,,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Cam Akers,LAR,RB,23,1,0,0,0,0,0,0,0,0,3,0,0,,0,0,0
Tutu Atwell,LAR,,23,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0
Jake Funk,LAR,,24,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Brycen Hopkins,LAR,,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Matthew Orzech,LAR,,27,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Keir Thomas,LAR,,24,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Josh Oliver,BAL,,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
James Proche,BAL,,26,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Tylan Wallace,BAL,,23,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0
Jalen Guyton,LAC,,25,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0
Richard Rodgers,LAC,,30,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0
DeeJay Dallas,SEA,,24,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
D'Wayne Eskridge,SEA,WR,25,1,0,2,1,0,0,0,0,0,0,0,0,,0,0,0
Penny Hart,SEA,,26,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Travis Homer,SEA,RB,24,1,0,0,0,0,0,0,2,0,1,0,0,,0,0,0
Kyle Juszczyk,SFO,,31,1,0,2,0,0,0,0,0,0,0,0,0,,0,0,0
Malik Turner,SFO,,26,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Charlie Woerner,SFO,,25,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Giovani Bernard,TAM,,31,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Jaelon Darden,TAM,WR,23,1,0,0,0,0,0,0,2,0,1,0,0,,0,0,0
John Bates,WAS,,25,1,1,1,0,0,0,0,0,0,0,0,0,,0,0,0
Dyami Brown,WAS,,23,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dax Milne,WAS,,23,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0
Cam Sims,WAS,,26,1,0,1,0,0,0,0,0,0,0,0,0,,0,0,0
Jonathan Williams,WAS,,28,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Breshad Perriman,TAM,WR,29,1,0,3,0,0,0,0,-7,0,1,0,0,-1,0,0,0
James Cook,BUF,RB,23,1,0,0,0,0,0,0,2,0,1,0,0,-2,0,1,1
